tweet_id,created_at,date,user_location,user_name,source,retweeted,type,retweet_count,hashtags,full_text,tweet,lat,lon,localization
349265771869896706,2013-06-24 20:40:23+00:00,2013-06-24,"Calgary AB, Canada",openbracketinc,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,Tweet,0.0,"['#abflood', '#yyc']","RT @CTVKarenOwen: #abflood #yyc Sunnyside a mess,<br>but neighbours haven't lost sense of humour.<br>Joking about waterfront property. http://t.c…","RT @CTVKarenOwen: #abflood #yyc Sunnyside a mess, but neighbours haven't lost sense of humour. Joking about waterfront property. http://t.c…",51.901538466576525,-114.00855712830635,Registered user location
349255165884383232,2013-06-24 19:58:15+00:00,2013-06-24,"Calgary, Canada",JennLutz,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",False,Tweet,0.0,"['#yyc', '#yycflood']","#yyc fortunate: Love em/hate em, at least 3 energy<br>companies pledged $1-million donations for<br>#yycflood relief. Not every city so wealthy.","#yyc fortunate: Love em/hate em, at least 3 energy companies pledged $1-million donations for #yycflood relief. Not every city so wealthy.",51.351056338890274,-113.23654254296247,Registered user location
350324333584986112,2013-06-27 18:46:44+00:00,2013-06-27,Calgary AB,LimitlessYYC,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,Tweet,0.0,"['#yycflood', '#yychelps']",RT @mikesbloggity: Bring your damaged #yycflood<br>books to @pagesbooksyyc and they will see if they<br>can replace at cost. #yychelps,RT @mikesbloggity: Bring your damaged #yycflood books to @pagesbooksyyc and they will see if they can replace at cost. #yychelps,51.32720637575063,-113.64911728859805,Registered user location
348445613513375746,2013-06-22 14:21:22+00:00,2013-06-22,"Calgary, AB Canada",959chfm,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,Tweet,0.0,['#yycflood'],"""@660News: Goal is to re-enter 6 communities<br>today, maybe more: CEMA Director Bruce Burrell""<br>#yycflood","""@660News: Goal is to re-enter 6 communities today, maybe more: CEMA Director Bruce Burrell"" #yycflood",50.79483091061251,-115.46442883413788,Registered user location
350017199655751681,2013-06-26 22:26:18+00:00,2013-06-26,"Calgary, AB",bryanwithoutab,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,Retweet,2.0,['#yycflood'],RT @mattgoodhart: @nenshi Edmontonian's are<br>organizing a large bottle drive for #yycflood<br>victim support next week. Can we get a RT? https:…,RT @mattgoodhart: @nenshi Edmontonian's are organizing a large bottle drive for #yycflood victim support next week. Can we get a RT? https:…,48.9836509220716,-114.30827362140151,Registered user location
348674201810513920,2013-06-23 05:29:42+00:00,2013-06-23,"Calgary, Alberta",farrell_thomas,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,Retweet,2.0,"['#yyc', '#yycflood', '#WeAreCalgary']",RT @NHLFlames: #yyc - some communities reopened to<br>residents today! http://t.co/wGtYeCc8hK has the<br>full list. #yycflood #WeAreCalgary,RT @NHLFlames: #yyc - some communities reopened to residents today! http://t.co/wGtYeCc8hK has the full list. #yycflood #WeAreCalgary,52.74450407105406,-113.72597582932895,Registered user location
348594004046258177,2013-06-23 00:11:01+00:00,2013-06-23,"Amsterdam, Niederlande",INTELCENTRE,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",False,Tweet,0.0,[],"Boardwalk Rental Communities - Update on the<br>Impact of Flooding that Occurred in Calgary, AB<br>http://t.co/BJKxKFqaVl","Boardwalk Rental Communities - Update on the Impact of Flooding that Occurred in Calgary, AB http://t.co/BJKxKFqaVl",50.714558971681846,-115.6846404799395,Geoparsed from Tweet
348232521718325248,2013-06-22 00:14:37+00:00,2013-06-22,"Calgary, Alberta",WaterPortal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,Tweet,0.0,"['#yeg', '#abflood']","RT @CityofEdmonton: ""Flood watch"" for N. Sask R.<br>means levels are rising &amp; will approach or may<br>exceed bank. #yeg #abflood","RT @CityofEdmonton: ""Flood watch"" for N. Sask R. means levels are rising &amp; will approach or may exceed bank. #yeg #abflood",52.81654945292438,-113.54062164567915,Registered user location
351441613265977344,2013-06-30 20:46:24+00:00,2013-06-30,"Calgary, Alberta",thestarcalgary,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",False,Tweet,0.0,['#yycflood'],Thousands of evacuees line up in Calgary for<br>flood-relief debit cards http://t.co/eTIr3tIcKx<br>#yycflood,Thousands of evacuees line up in Calgary for flood-relief debit cards http://t.co/eTIr3tIcKx #yycflood,50.69633698754616,-113.6847526190385,Geoparsed from Tweet
348556100083257344,2013-06-22 21:40:24+00:00,2013-06-22,Alberta,PremierOfficeAB,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,Tweet,0.0,"['#yycflood', '#abflood', '#ABCulture']",RT @HeatherKlimchuk: Lougheed House in Calgary<br>will remain closed to the public on both June 22<br>and 23 due to #yycflood #abflood #ABCulture,RT @HeatherKlimchuk: Lougheed House in Calgary will remain closed to the public on both June 22 and 23 due to #yycflood #abflood #ABCulture,51.54672860233531,-113.72092889029507,Geoparsed from Tweet
